,name,city,income,credit_score,loan_amount,years_employed,points,loan_approved
127,Jennifer Blair,Ronaldview,34207,683,11003,30,55.0,False
128,Ronald Davis,Lake Joanneberg,135518,361,39434,35,50.0,False
129,Meagan Jenkins,Parrishton,71347,594,40348,19,50.0,False
130,Kenneth Lewis,Walkerville,82581,658,37455,23,55.0,False
131,Donald Perez,Bruceside,65093,326,40911,17,35.0,False
132,Donald Farmer,Michaelburgh,38675,446,38114,25,25.0,False
133,Patrick Bonilla,Lake Alyssafurt,57653,729,30730,21,60.0,True
134,Eric Nguyen,North Ericton,149686,383,18832,28,55.0,False
135,Karla Ramos,Jasonhaven,104341,416,23621,27,55.0,False
136,Michael Watkins,Brandonfurt,144867,356,1503,13,60.0,True
137,Daniel Taylor,Keithville,124098,307,33596,27,50.0,False
138,James Padilla,Charleston,71245,746,2228,29,85.0,True
139,Shannon Johnston,Mckinneychester,57869,596,8548,25,60.0,True
140,Frederick Solis,Collierstad,115909,390,29620,6,45.0,False
141,Kevin Warren,Harrellmouth,95435,526,22827,10,50.0,False
142,Mark Schmidt,Port Michael,81856,451,16484,6,45.0,False
143,Craig Morrison,East Stephaniefort,145957,775,37944,37,85.0,True
144,Thomas Cunningham,Michellemouth,149871,454,29820,4,45.0,False
145,Mark Hogan,West Williamport,114259,772,30616,2,75.0,True
146,Ronald Jones,New Brookefurt,90142,773,39032,35,75.0,True
147,Nancy Williams,West Cassidy,48726,813,10886,3,65.0,True
148,Robert Monroe,New Debbieton,64718,553,47374,28,35.0,False
149,Kelly Bishop MD,Paulmouth,48301,353,42345,21,25.0,False
150,Brandon Gregory,Johnathanberg,62325,641,6341,37,60.0,True
151,Sydney Collins,Andersonland,127647,617,37629,24,65.0,True
152,Erin Anderson,Lake Ellenhaven,103579,670,2194,23,85.0,True
153,Trevor Peterson,Leeberg,100644,458,6057,18,60.0,True
154,Ashley Wise,Lake Matthewberg,64438,685,11109,10,70.0,True
155,Michael Weber,Lake Samuel,127912,720,24874,15,80.0,True
156,Lisa Goodwin,Youngbury,106622,616,31737,12,65.0,True
157,Travis Joyce,Hammondfurt,86155,814,35567,26,80.0,True
158,Ruth Solis,Port John,147679,792,25327,35,90.0,True
159,Michelle Black,West Christopherburgh,106484,579,30446,32,50.0,False
160,Jeffrey Potts,Port Shannon,82350,657,2747,26,70.0,True
161,Jonathan Young,West Jeffreymouth,77447,401,47838,21,40.0,False
162,Brenda Mitchell,Hortonberg,58746,780,30399,39,70.0,True
163,Bobby Scott,New Shelby,48131,840,28738,7,60.0,True
164,Cynthia Martinez,South Danielle,96784,768,5116,7,85.0,True
165,Kathryn Herrera,Lake Douglas,94686,739,1102,39,80.0,True
166,Kenneth Lopez,New Theresaland,41915,838,36656,32,65.0,True
167,Katie Smith,Williamsfurt,129061,682,17623,1,65.0,True
168,Austin Allen,Port Bonniemouth,36175,436,3905,22,35.0,False
169,Robin Thompson,Pollardfort,142866,486,9837,4,50.0,False
170,Terri Johnson,North Kylie,44371,342,21682,19,25.0,False
171,Virginia Daniels,Benjaminborough,50033,592,24394,3,40.0,False
172,Evelyn Martinez,Samuelfurt,112240,750,26339,21,90.0,True
173,Kathleen Jimenez,Lauriechester,50969,380,29220,38,35.0,False
174,Catherine Carter MD,Donnaport,133819,756,40493,27,85.0,True
175,Jeremy West,Christinachester,119192,581,42908,3,55.0,False
176,Mark Cox,North Douglas,85333,748,3280,8,85.0,True
177,Richard Diaz,Herrington,108172,457,45503,28,45.0,False
178,Jacqueline Hines,New Michael,38326,621,43569,17,40.0,False
179,Brian Fitzgerald,Holmesside,80432,420,18155,16,50.0,False
180,Cindy Carr,Gonzalezberg,80019,375,30625,11,45.0,False
181,Jill Miller,Elizabethland,108104,597,20657,10,70.0,True
182,Tammy Little,Williamville,91348,505,10101,15,50.0,False
183,Allison Spencer,Tannerside,99352,432,41104,5,35.0,False
184,James Love,Foxchester,62953,375,9213,20,45.0,False
185,Joanna Frazier,Davidside,102512,486,9456,27,60.0,True
186,Sheena Guerra,West Fred,142824,630,47486,14,65.0,True
187,Todd Jacobson,West Jamesside,31504,581,9203,40,45.0,False
188,Joseph Shaw,New Shelly,119166,457,12219,39,55.0,False
189,Lisa Kirby,Port Michelleland,124466,346,43038,36,50.0,False
190,Daniel Armstrong,South Pamelaside,45014,596,43068,19,40.0,False
191,Dr. Michael Evans,Lake Brianmouth,119353,725,32735,29,75.0,True
192,Lawrence Edwards,Jessicastad,145970,708,9569,23,85.0,True
193,Ashley Allen,West Shannonberg,100381,399,4316,18,60.0,True
194,Sharon Barnes,Port Mark,128419,620,13440,10,70.0,True
195,Mr. Jonathan Parker Jr.,Wagnerbury,64973,520,39230,22,35.0,False
196,Douglas Harper,Mitchelltown,130741,410,29241,8,50.0,False
197,Monica Gallagher,Brandonton,114012,499,24758,35,55.0,False
198,James Cole,Marciaville,74587,431,7336,25,50.0,False
199,William Grant,Kariborough,44621,821,27305,32,65.0,True
200,Andrew Reeves,Stoneberg,68469,827,10160,20,85.0,True
201,Emily Long,Brittneyhaven,86985,821,35887,31,80.0,True
202,Elizabeth Cabrera,Markville,50730,726,39253,19,60.0,True
203,Molly Watts,New Thomasshire,89470,533,48277,3,30.0,False
204,Carolyn Fuller,Hernandezbury,30425,332,38523,7,20.0,False
205,Jeremy Barnes,Vaughnchester,124646,813,41073,30,90.0,True
206,Nancy Brown,New Jared,144799,632,44399,30,65.0,True
207,Emily Thompson,Amyview,124329,795,13600,15,90.0,True
208,Edwin David,Kellieborough,64522,800,21777,30,80.0,True
209,Timothy Pope,Keithshire,95612,688,26856,22,70.0,True
210,Regina Roberts,Stephanieland,129871,654,29991,16,70.0,True
211,Cindy Clayton,Sarahview,53416,440,8158,39,45.0,False
212,Cynthia Williams,Lake Jesse,96542,402,28086,21,45.0,False
213,Ashlee Townsend,New Tiffanyburgh,149619,716,43787,30,75.0,True
214,Curtis Maynard,Justinton,43947,391,43749,36,25.0,False
215,Parker Jefferson,East Robertburgh,144100,337,27017,31,55.0,False
216,Paul Brennan,Nancytown,111959,605,38221,38,65.0,True
217,William Mitchell,Smallberg,69117,816,31672,17,75.0,True
218,Brian Martin,Wongburgh,140319,314,49274,21,50.0,False
219,Laura Todd,New Melissa,113748,715,29029,32,75.0,True
220,James Davis,South Marcus,96540,554,1447,16,55.0,False
221,Jeremy Adams,Kevinshire,109818,311,18141,23,55.0,False
222,Amy Wilson,Erikhaven,56071,618,46238,7,45.0,False
223,Teresa Richardson,East Susan,50032,789,11039,29,80.0,True
224,Lisa Perry,Toddborough,79009,553,45586,38,40.0,False
225,Angela Griffin,Christianshire,129943,414,5047,35,60.0,True
226,Christina Herrera,West Melissa,51174,752,8617,13,80.0,True
227,Katherine Nolan,Stokesmouth,100697,435,34636,26,50.0,False
228,Anthony Ford,Jenniferfurt,132056,560,1197,13,60.0,True
229,Amber Cooper,New Virginialand,99514,783,3079,18,90.0,True
230,Randy Cannon,Brooksfurt,30074,759,25739,24,60.0,True
231,Victor Baxter,Lake Michelle,108504,421,12696,34,55.0,False
232,Cameron Irwin,Port Andrewport,72487,774,45138,34,70.0,True
233,James Hall,Reedview,94042,493,48515,7,35.0,False
234,Matthew Mendez,East Jamieville,32552,334,30257,38,25.0,False
235,Shelby Sanchez,South Scottside,44662,522,4699,8,30.0,False
236,Donna Cabrera,Barbaramouth,77576,542,20776,9,40.0,False
237,Ms. Jennifer Hill,Lake Erika,145175,807,4072,22,100.0,True
238,Megan Floyd,Heatherchester,139008,452,20653,24,55.0,False
239,Joshua Allen,West Meredith,135745,447,31344,3,45.0,False
240,Tracy Grant,South John,70306,508,22644,5,35.0,False
241,Sarah Davis,North Joseph,61385,340,5769,12,50.0,False
242,Laurie Powers,South Jason,37592,640,20869,0,25.0,False
243,Colton Figueroa,Rochaborough,61571,706,16684,35,65.0,True
244,Douglas Owens,Kylestad,145082,825,33589,29,95.0,True
245,William Harrison,Robinstad,104364,620,28127,2,55.0,False
246,Connie Thomas,Angelashire,40322,727,20345,9,45.0,False
247,David Hudson,South Andrea,41226,645,17864,31,40.0,False
248,Maria Henry,Lake Laura,125932,473,10172,34,60.0,True
249,Thomas Weaver DDS,New Arthurland,93699,349,1418,26,55.0,False
250,Mark Jones,North Jeffery,136957,766,25458,3,80.0,True
251,Mary Jensen,Hopkinstown,39071,306,35879,35,25.0,False
252,Alan Bowen,Andrechester,129693,483,8013,6,55.0,False
253,Daisy Harvey,Lisaview,99822,706,6178,23,80.0,True
254,Judy Sanchez,West Gabriella,130379,382,43843,2,40.0,False
255,James Tran,Lake Albertburgh,46483,384,33758,27,25.0,False
256,Erin Madden,New Samanthabury,46828,516,46369,36,25.0,False
257,Anthony Jones,Rachelshire,116474,333,12754,20,55.0,False
258,Daniel Thomas,Hickmanport,92296,466,37959,15,40.0,False
259,Sarah Rhodes,Patrickberg,102063,380,33819,22,50.0,False
260,Jeffrey Roberson,Cassiefurt,51643,634,2941,40,65.0,True
261,Willie Henry,Angelafurt,64741,742,13172,37,80.0,True
262,Angelica Montgomery,Lake Charles,99163,574,11107,24,50.0,False
263,Madison Singh,Michaelland,144351,305,21202,28,55.0,False
264,Derrick Anderson,South Shane,109507,824,27741,6,85.0,True
265,Hector Davis,Michelletown,85461,598,28119,24,60.0,True
266,Misty Hansen,New Adriana,57760,689,12108,8,65.0,True
267,Derrick Thomas,South Joshua,100686,606,32734,4,55.0,False
268,Tony Le,Wheelerborough,128994,768,8010,8,90.0,True
269,Travis Cook,Brockmouth,125673,750,22937,27,90.0,True
270,Shannon Mccann,West Malik,120422,505,32392,20,50.0,False
271,James Flores,Faulknerbury,56365,633,25645,17,50.0,False
272,Jenna Wilson,New Wendy,123447,484,45676,35,50.0,False
273,Nicholas Hahn,South Lauren,70857,370,27813,31,40.0,False
274,Eric King,Lake Rodney,82296,686,5847,28,80.0,True
275,Karen Morales DDS,Stephensstad,118039,849,39916,40,90.0,True
276,Ashley Wright,Gabrielton,115180,709,22731,27,80.0,True
277,Brett Walker,South Neil,78944,774,45535,37,75.0,True
278,Brittany Cuevas,Garciachester,87422,387,8606,9,50.0,False
279,Grant Mueller,Baileyville,147914,748,48316,28,85.0,True
280,Eric Patrick,North Melindaville,97839,468,49528,15,40.0,False
281,Kristen Rivera,Mullenbury,89177,714,42271,11,65.0,True
282,Matthew Foster,South Brittany,45860,698,1291,13,65.0,True
283,Paul Stokes,New Cristianside,62493,491,24972,20,40.0,False
284,Brian Lambert,Rosemouth,59451,697,41062,25,60.0,True
285,Hannah Bruce,Port Emily,38392,604,41270,37,40.0,False
286,Cesar Wilson,Darylstad,74313,444,34477,24,35.0,False
287,Chad Reyes,South Cynthia,32757,477,37366,10,25.0,False
288,Charles Edwards MD,Port Michaeltown,107110,796,9947,12,95.0,True
289,Tracey Wagner,Ortizfort,102603,725,47539,28,70.0,True
290,Bradley Johnson DDS,Antoniobury,60161,850,19918,10,80.0,True
291,Krystal Barton,Dunnville,107128,416,18556,34,55.0,False
292,Holly Carson,Port Jenniferside,58864,523,28862,6,30.0,False
293,Martha Wright,South Joseland,30942,749,8693,15,65.0,True
294,Oscar Norris,Martinberg,39305,511,14562,3,20.0,False
295,Kim Carlson,West Tiffany,122778,599,19961,36,70.0,True
296,Scott Duke,East Sydneychester,112719,360,19174,8,50.0,False
297,Brandi Thomas,Mariafurt,37716,801,10317,36,70.0,True
298,Lori Brooks,Lake Lauraland,60007,712,34791,17,60.0,True
299,Sherry Gibson,Murphytown,38834,395,48902,29,25.0,False
300,Melissa Horn,Robinsonchester,148675,516,33421,17,55.0,False
301,Drew Kelley,New Melissa,34117,651,45731,3,30.0,False
302,Mark Copeland,North Sarahburgh,142674,751,30918,0,75.0,True
303,Jessica Forbes DVM,Erikview,73309,395,43899,23,35.0,False
304,Jacob Mckee,North Randy,39287,612,48578,14,40.0,False
305,Brandon Davis,South Christian,97391,531,35042,28,45.0,False
306,Michael Montoya,Bensonfort,61195,372,16004,24,40.0,False
307,Robert Garcia,Nicoleberg,66500,691,9725,9,65.0,True
308,Justin Bishop,South Michael,117684,518,42161,9,45.0,False
309,Lisa Ramos,North Peggy,93624,443,9071,37,55.0,False
310,Heather Jordan,East Joshua,58080,386,17263,35,40.0,False
311,Michelle Mitchell,Port Melanieport,100678,510,34931,38,50.0,False
312,Nicole Phillips,Port Rachaelbury,47342,806,26289,7,60.0,True
313,Alexandria Ward,Davidshire,124811,730,24947,34,80.0,True
314,Pamela Best,North Brendatown,145655,568,15138,2,45.0,False
315,Tiffany Sanders,Courtneyhaven,104847,725,28759,25,75.0,True
316,Joshua Jensen,Christopherland,105525,823,14316,9,90.0,True
317,Jeanette Walters,West Hollybury,91953,359,17022,5,45.0,False
318,Audrey Salazar,West Elizabethburgh,61850,422,1830,8,45.0,False
319,Carla Benton,Garyberg,132841,575,49033,7,45.0,False
320,Alyssa Roman,Alexandriaview,91993,378,33515,29,45.0,False
321,Amy Villarreal,West Eric,135840,405,38611,7,45.0,False
322,Jordan Williams,East Brandonstad,83354,692,10835,11,75.0,True
323,Shannon Tran,Walkerbury,54957,726,48204,20,60.0,True
324,Blake Watson,East Jeffreyhaven,42363,347,27275,4,15.0,False
325,Sharon Ayala,Markside,42704,767,1522,23,75.0,True
326,Justin Torres,South Micheal,116374,805,13807,34,95.0,True
327,Danielle Smith,Johnsonside,86498,654,42677,0,40.0,False
328,April Sandoval,Daltonhaven,76438,543,28513,31,45.0,False
329,Valerie Thomas,Christopherbury,85519,832,28070,23,85.0,True
330,Paul Carpenter,Lake Lori,83883,376,39790,36,40.0,False
331,Matthew Anderson,Josemouth,91213,702,46922,20,65.0,True
332,Dillon Jones,East Kimberly,143224,411,11184,6,55.0,False
333,John Russell,Tamiborough,125561,762,21205,29,90.0,True
334,Bryan Moore,Margaretton,37100,520,22482,9,20.0,False
335,David Kelly,Lake Kentburgh,118259,331,27502,28,55.0,False
336,Krista Davis,Port Lauraville,115649,312,5041,14,60.0,True
337,Rodney Watson,New Brendaland,114696,322,5225,12,60.0,True
338,Jill Anderson,Davidmouth,42899,351,12009,36,30.0,False
339,Nathaniel Crawford,Vegaburgh,37944,662,15071,11,45.0,False
340,Jeremy Hernandez,Lake Kenneth,82772,721,37089,30,65.0,True
341,Douglas Taylor,Lake Nicole,125448,838,17328,40,95.0,True
342,Kimberly Smith MD,Timothyfort,74473,652,38070,32,50.0,False
343,Devin Johnson,North Paula,134935,587,4839,30,75.0,True
344,Pamela Key,North John,142941,546,18467,34,55.0,False
345,Sylvia Brown,New Meghan,44322,697,24252,11,50.0,False
346,Kevin Drake,Robintown,62591,660,38201,36,50.0,False
347,Travis Copeland,Weaverburgh,55112,802,3487,5,85.0,True
348,Kyle Smith,Smithborough,54931,433,23331,11,35.0,False
349,Sarah Morris,East Brendaberg,100292,413,35491,23,50.0,False
350,Jacqueline Mcmahon,Willismouth,88800,609,22142,8,60.0,True
351,Morgan Kim,Banksburgh,48373,665,15630,37,45.0,False
352,Jamie Gross,Davidtown,85296,700,38190,2,55.0,False
353,Evan Lamb,Lake Ariana,54050,808,10217,21,85.0,True
354,Cynthia Haas,Lake Nicole,66509,390,47462,40,35.0,False
355,Gabriela Smith,East Heather,90637,658,17820,6,60.0,True
356,Amber Kim,Costachester,62742,804,25819,22,75.0,True
357,Ashley Mendoza,East Shannon,144620,334,20327,1,40.0,False
358,Trevor Jones,South Eugene,39880,376,36851,5,20.0,False
359,William Barry,South Sherriburgh,88082,744,11295,3,75.0,True
360,Daniel Lee,Donnaport,135909,543,7285,3,50.0,False
361,Joshua Henry,West Adamland,142898,601,44386,40,65.0,True
362,Christina Johnson,Lake Kelly,142193,383,32035,7,50.0,False
363,James Burns,Christopherside,102132,696,13116,23,80.0,True
364,Jaclyn Griffin,Scottview,42833,531,18600,36,25.0,False
365,Paul Contreras,Lake Mauriceside,36630,723,39648,14,50.0,False
366,Sara Cardenas,Sheppardfort,115477,541,32212,19,50.0,False
367,Steven Klein,North Stacy,100855,759,12329,10,90.0,True
368,Rhonda Martinez,Millerchester,139579,506,42105,9,45.0,False
369,Deanna Bartlett,North Paulfurt,31934,633,19101,33,40.0,False
370,Shane Buchanan,Rodriguezberg,42224,451,38132,37,25.0,False
371,Traci Garcia,New Kimberlyport,128771,848,23535,26,95.0,True
372,Matthew Armstrong,Johnsonview,141240,712,10427,39,85.0,True
373,Melissa Williams,Hannahton,60982,786,18601,23,75.0,True
374,Robert Turner,Meganville,51798,533,9807,19,45.0,False
375,Jessica Petersen,Jessicaland,83269,492,29948,13,45.0,False
376,Jennifer Washington,Lorihaven,93653,462,5300,19,55.0,False
377,Jennifer Deleon,East Jamesborough,93092,359,17350,2,40.0,False
378,Thomas Bush,Michealmouth,58016,817,27014,40,75.0,True
379,Melanie Allen,Wheelerburgh,143331,785,39461,35,85.0,True
380,Christopher Kline,West Anthonyton,82565,466,38503,13,40.0,False
381,Maria Byrd,Denisehaven,148284,320,45708,0,35.0,False
382,Carlos Thompson,East Johnnyport,37685,581,28774,24,40.0,False
383,Judy Robinson,Ericafurt,51579,404,1481,32,50.0,False
384,Dr. Sara Hoffman DDS,Kennethville,79672,793,5183,21,90.0,True
385,Margaret Hensley MD,Jacobhaven,30282,546,4720,38,35.0,False
386,Francisco Taylor,Lake Tylerport,81173,565,28431,25,45.0,False
387,Andrew Erickson,West Jessica,64760,527,45978,34,35.0,False
388,Karen Shepard,Williamburgh,132769,485,20253,6,50.0,False
389,Patrick Hardy,Lake Rachel,132908,391,15565,22,55.0,False
390,Seth Fisher,Nathanshire,89638,601,31393,7,55.0,False
391,Sean Silva,South Pamelahaven,67388,422,45610,24,35.0,False
392,Jennifer Pitts,East Victoria,85444,650,27816,36,60.0,True
393,Victoria Thomas,Port Christopher,121303,640,42355,11,65.0,True
394,Anthony Hayes,Port Kim,125748,462,33084,5,45.0,False
395,Jeffrey Jordan,Sanfordfurt,132676,304,3472,34,60.0,True
396,Jake Smith,Katherinehaven,102845,495,2174,0,45.0,False
397,Danielle Steele,Larryville,116752,692,33986,37,75.0,True
398,Austin Williams,Stephenhaven,124163,836,23140,27,95.0,True
399,Whitney Cooper,Howardborough,93788,468,27436,1,30.0,False
400,Nicholas Anderson,New Williamville,50289,675,47603,2,50.0,False
401,Martin Wise,New Virginiaville,54890,320,4161,7,45.0,False
402,James Kelley,Milesborough,68890,309,20733,26,40.0,False
403,Mary Nelson,South Maria,58534,407,34527,39,35.0,False
404,Brian Rodriguez,New James,37665,569,35284,12,25.0,False
405,Jason Martin,Lozanofort,105914,638,16368,0,55.0,False
406,Brandon Rodriguez,Hernandezland,126434,823,5918,6,95.0,True
407,Maria Bryant,Josephton,101066,402,12449,2,45.0,False
408,Heather Rhodes,Rodgersville,37989,346,1633,8,35.0,False
409,Carolyn Howard,Friedmanview,128038,395,25420,21,55.0,False
410,James Rivers,Maryfort,71104,731,43522,10,60.0,True
411,Michael Brown,North Robert,37492,794,38286,28,60.0,True
412,James Howard,Port Gabrielleberg,36572,794,32989,7,55.0,False
413,Jessica Brown,Alexanderhaven,106569,529,44898,21,45.0,False
414,Melissa Montgomery,Stanleybury,92493,793,23659,24,80.0,True
415,Ronald Mcclain,North Dawnburgh,95909,817,31755,31,85.0,True
416,Angela Vasquez,West Tara,141767,351,34222,14,55.0,False
